"","ID","support_iec","altruism","reciprocity","industry","emp_status","age","female","educ_high","incgr_high","right"
"844",148763557,0,0,0,NA,0,65,1,0,0,1
"845",148763572,1,0,0,NA,3,84,0,0,0,0
"846",148763576,0,1,0,1,1,70,1,0,0,0
"847",148763586,0,1,1,NA,3,64,0,0,0,1
"848",148763638,1,0,0,NA,3,71,1,0,0,0
"849",148763993,1,1,0,0,1,48,0,1,1,0
"850",148764304,1,0,1,0,1,33,1,0,0,0
"851",148764337,1,0,1,1,1,45,0,0,0,0
"852",148764360,1,0,0,0,1,22,1,1,1,0
"853",148764476,0,0,0,1,1,49,0,1,1,1
"854",148764495,0,1,0,1,1,63,0,0,0,1
"855",148764667,0,1,1,NA,0,46,1,1,1,1
"856",148764757,0,1,0,NA,0,55,1,0,0,0
"857",148765126,0,0,0,NA,0,49,1,1,0,1
"858",148765148,1,0,0,NA,3,48,0,1,1,1
"859",148765194,0,0,1,NA,3,64,1,1,0,0
"860",148765203,0,0,1,NA,2,65,1,1,1,0
"861",148765262,1,0,1,NA,3,71,0,1,0,0
"862",148765269,0,0,1,NA,0,73,1,0,1,1
"863",148765271,0,0,1,NA,3,62,0,0,1,1
"864",148765298,1,0,0,NA,3,65,0,0,1,0
"865",148765299,0,0,0,NA,3,65,1,0,0,0
"866",148765301,1,0,0,NA,2,59,0,0,0,0
"867",148765312,0,1,1,NA,3,75,1,0,0,0
"868",148766070,0,0,1,1,1,29,0,1,0,1
"869",148766087,1,0,1,1,1,46,0,0,1,0
"870",148766137,1,0,1,NA,2,49,1,0,0,0
"871",148766392,0,1,0,NA,3,63,1,1,1,1
"872",148766886,0,0,0,0,1,50,1,0,1,1
"873",148766946,1,1,1,0,1,33,1,1,0,1
"874",148767057,0,0,0,NA,3,67,0,0,0,1
"875",148767062,1,1,1,NA,3,73,1,0,1,1
"876",148767068,0,0,0,NA,3,68,1,0,0,1
"877",148767096,1,1,0,1,1,55,1,1,0,0
"878",148767121,1,1,0,NA,3,66,0,1,1,0
"879",148767127,1,1,1,NA,0,54,1,1,1,1
"880",148767146,1,0,1,NA,2,48,0,0,1,0
"881",148767149,1,1,1,0,1,28,1,1,0,0
"882",148767150,0,0,0,NA,3,67,1,0,0,0
"883",148767217,1,0,1,NA,3,66,1,1,1,0
"884",148767444,0,1,1,1,1,32,0,1,1,1
"885",148767932,0,0,0,NA,0,31,0,0,0,1
"886",148768887,1,0,1,NA,0,77,1,0,0,0
"887",148768893,0,0,1,NA,0,65,1,0,1,1
"888",148768894,0,0,0,NA,3,81,1,0,0,1
"889",148768901,0,0,0,0,1,56,1,1,0,0
"890",148768905,1,0,1,0,1,51,1,1,0,0
"891",148768922,0,0,1,NA,3,79,1,1,1,0
"892",148768924,1,1,0,NA,3,64,1,1,1,0
"893",148768988,0,0,0,NA,3,64,0,0,0,0
"894",148769321,1,0,1,0,1,28,0,1,0,0
"895",148769369,1,0,1,0,1,25,1,1,0,0
"896",148769561,1,1,1,NA,3,68,1,1,0,0
"897",148769791,0,0,1,NA,3,76,0,1,0,1
"898",148769898,0,0,1,0,1,51,0,1,1,1
"899",148770496,1,0,1,0,1,54,1,1,0,0
"900",148770515,1,0,0,0,1,38,1,1,0,1
"901",148770566,0,0,0,NA,3,67,1,0,0,0
"902",148770570,0,0,1,NA,0,54,1,0,0,0
"903",148770632,1,1,0,NA,0,53,1,1,0,0
"904",148770642,0,0,0,NA,1,43,1,1,0,0
"905",148770656,0,1,1,NA,0,71,1,0,0,0
"906",148770667,1,0,1,NA,0,39,0,0,0,1
"907",148770671,1,1,1,NA,3,81,0,0,0,1
"908",148770675,1,0,1,0,1,54,1,0,1,0
"909",148770682,0,1,1,1,1,58,0,0,0,1
"910",148770690,1,0,0,NA,3,74,0,0,0,1
"911",148770691,1,0,0,1,1,23,1,1,0,1
"912",148770701,0,0,0,1,1,38,1,1,1,0
"913",148770707,1,0,0,NA,3,72,1,0,0,0
"914",148770756,0,0,0,1,1,47,0,0,1,1
"915",148771010,0,1,0,1,1,62,0,1,1,1
"916",148771587,1,0,0,NA,0,50,0,0,0,0
"917",148771872,1,0,1,NA,3,63,1,1,0,0
"918",148772304,1,1,0,1,1,53,1,1,1,0
"919",148772306,0,0,1,1,1,49,1,1,1,1
"920",148772447,1,0,0,NA,3,67,1,0,0,0
"921",148772492,1,0,0,NA,3,68,1,0,0,0
"922",148772496,1,0,0,NA,3,65,0,0,1,1
"923",148772501,0,1,1,NA,1,74,1,0,0,1
"924",148772577,1,0,1,0,1,52,0,1,1,0
"925",148773383,1,1,1,1,1,50,0,1,1,0
"926",148774273,0,0,1,NA,1,26,1,1,0,0
"927",148774283,1,1,0,NA,0,62,0,0,0,0
"928",148774367,0,0,1,NA,3,64,0,1,1,1
"929",148774663,0,0,1,0,1,26,1,0,0,1
"930",148775245,0,0,1,0,1,55,0,0,0,1
