price,age,bathroom,bedroom,buyage,chnone,dholborn,floorm2,prkspace,chtgas,chtelec,phouse
185000,111,1,2,34,0,11.06281,83,0,1,0,1
299950,71,1,4,37,0,10.90852,155,1,1,0,1
85999.99,81,1,1,29,1,10.20688,60,1,0,0,0
92500.02,14,1,2,27,0,9.145391,57,1,0,1,0
70999.98,101,1,1,27,0,8.078544,55,0,1,0,0
113000,101,1,3,25,0,8.528465,111,0,1,0,1
87500.04,121,1,2,37,0,8.589765,54,0,1,0,0
85000.01,101,1,2,28,0,8.44555,51,0,1,0,0
74995.01,16,1,1,32,0,9.813572,30,1,0,1,0
105000,17,1,2,26,0,9.813572,52,1,0,1,0
157500.1,91,1,3,27,0,8.641583,94,0,1,0,1
133000,101,1,3,28,0,8.515728,112,0,1,0,1
167000,101,1,3,48,0,8.45629,113,0,1,0,1
167000,101,1,3,48,0,8.45629,113,0,1,0,1
83499.97,101,1,2,29,0,8.222735,68,0,1,0,0
124000,101,1,2,26,0,8.557294,84,0,1,0,1
84000.04,111,1,1,32,0,8.826813,68,0,1,0,0
72000.01,11,1,1,51,0,9.843191,72,0,1,0,1
249995,101,1,3,40,0,10.32436,122,1,1,0,1
105000,26,1,2,32,0,10.49748,81,0,1,0,0
97500.03,101,1,2,33,0,10.88601,84,0,1,0,1
60000.01,71,1,1,28,1,11.27657,54,0,0,0,0
65000.02,71,1,2,30,0,11.24719,70,0,1,0,0
60000.01,71,1,1,33,0,8.250339,67,0,1,0,0
103000,101,1,3,25,0,8.347246,114,0,1,0,1
61999.97,71,1,1,46,1,8.418098,64,0,0,0,0
79995.02,101,1,3,40,0,8.894669,54,0,1,0,0
75000.02,11,1,2,46,1,8.765942,63,0,0,0,0
72999.98,11,1,2,29,1,8.8574,58,1,0,0,0
135000,51,1,3,27,0,8.749243,123,0,1,0,1
79499.98,51,1,1,27,0,2.464126,57,0,1,0,0
105000,101,1,1,29,0,2.476167,48,0,1,0,0
124995,101,1,1,29,0,2.893842,56,0,1,0,0
214000,256,1,2,26,0,2.990243,101,0,1,0,0
79999.97,8,1,1,25,0,5.714147,48,1,0,1,0
305000,13,2,5,39,0,6.364206,148,1,1,0,1
155000,11,1,2,55,0,5.540647,52,1,0,1,0
99999.97,21,1,1,30,0,5.708967,47,0,1,0,0
126000.1,11,1,1,24,0,5.035613,62,1,0,1,0
227500,5,2,3,30,0,4.431728,104,1,1,0,1
228000,14,2,2,27,0,4.471872,73,1,1,0,0
218000.1,12,2,2,30,0,4.482187,98,1,0,1,0
149950,11,1,2,32,0,5.37998,57,0,0,1,0
85000.01,51,1,2,42,0,7.824055,52,0,1,0,0
86500.02,41,1,3,36,0,7.2943,93,0,1,0,0
112000,36,1,3,30,0,6.822095,95,0,1,0,1
150000,101,1,3,27,0,7.482776,119,0,1,0,1
130000,51,1,3,49,0,7.69691,93,0,1,0,1
122000,101,1,2,27,0,7.391562,64,0,1,0,1
69995.02,21,1,1,52,1,7.894451,46,1,0,0,0
66995.01,41,1,1,32,0,6.986073,52,0,1,0,0
127500,101,1,2,27,0,6.987401,69,0,1,0,1
79999.97,101,1,2,36,0,9.91648,86,0,1,0,1
79999.97,11,1,2,31,0,9.969985,66,1,0,1,0
