obs,hdi,educ,imr,gdppc,unem,developing,europe,asia,africa,america,oceania
"TimorLeste",0.625887057433738,4.537876912,40.8,6795.510331,3,1,0,1,0,0,0
"Togo",0.512732736035847,4.949925584,49.2,1565.457206,1.7,1,0,0,1,0,0
"Tonga",0.717430361289233,11.21,13.7,5696.229217,1,0,0,0,0,0,1
"TrinidadTobago",0.799028478624285,11.02594007,23.1,28647.05231,2.8,1,0,0,0,1,0
"Tunisia",0.739200558575807,7.172257455,11.2,11096.4842,15.5,1,0,0,1,0,0
"Turkey",0.806490175910848,7.667909126,10,25286.5831,10.9,0,1,0,0,0,0
"Turkmenistan",0.710130828934263,9.78,40.6,17128.98534,3.8,1,0,1,0,0,0
"Uganda",0.528190903458153,6.090251,35.4,1807.371306,1.7,1,0,0,1,0,0
"Ukraine",0.749745951643767,11.34,7.5,7906.540301,9.4,1,1,0,0,0,0
"UnitedArab mira",0.866437670203764,10.95412,7.8,66615.92693,2.6,0,0,1,0,0,0
"UnitedKingdom",0.920351548453539,12.95067,3.7,40157.98223,4,0,1,0,0,0,0
"UnitedStates",0.919925749374603,13.41344,5.7,55681.04728,3.9,0,0,0,0,1,0
"Uruguay",0.807763814153577,8.728716877,7,20916.15018,8,0,0,0,0,1,0
"Uzbekistan",0.710477618283585,11.52496134,20,6240.305472,5.2,0,0,1,0,0,0
"Vanuatu",0.5968483119671,6.84,22.6,2846.073705,5.4,1,0,0,0,0,1
"Venezuela",0.725773449254529,10.32342591,25.7,17131.38691,8.4,0,0,0,0,1,0
"VietNam",0.692669296545327,8.2,16.7,6608.621686,1.9,1,0,1,0,0,0
"Yemen",0.46271714702882,3.2,43.2,2284.970504,12.9,1,0,1,0,0,0
"Zambia",0.591462439752522,7.104178868,41.5,3747.972455,7.2,1,0,0,1,0,0
"Zimbabwe",0.563100168817114,8.342245697,36.5,2688.406942,4.9,1,0,0,1,0,0
